order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3
12,91,4,2016-01-06,2016-01-08,2016-01-09,1,2
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6
40,348,4,2016-01-27,2016-01-28,2016-01-29,1,3
42,1095,4,2016-01-27,2016-01-28,2016-01-30,2,7
43,1434,4,2016-01-27,2016-01-28,2016-01-30,2,7
47,1234,4,2016-01-29,2016-01-30,2016-01-31,2,7
48,1012,4,2016-01-30,2016-02-01,2016-02-02,2,7
49,608,4,2016-01-31,2016-02-01,2016-02-02,2,6
51,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7
52,767,4,2016-02-03,2016-02-04,2016-02-05,1,2
53,965,4,2016-02-03,2016-02-04,2016-02-05,2,6
56,1241,4,2016-02-04,2016-02-06,2016-02-07,2,6
64,1185,4,2016-02-07,2016-02-08,2016-02-09,2,6
65,996,4,2016-02-08,2016-02-09,2016-02-11,2,6
68,381,4,2016-02-10,2016-02-11,2016-02-13,2,6
75,587,4,2016-02-14,2016-02-15,2016-02-17,2,6
78,1182,4,2016-02-16,2016-02-18,2016-02-19,2,7
86,276,4,2016-02-21,2016-02-22,2016-02-23,2,7
87,516,4,2016-02-21,2016-02-22,2016-02-23,2,6
88,1069,4,2016-02-21,2016-02-22,2016-02-23,2,6
91,648,4,2016-02-25,2016-02-27,2016-02-28,1,2
94,929,4,2016-02-27,2016-02-28,2016-02-29,1,2
97,204,4,2016-02-28,2016-02-29,2016-03-01,2,7
99,1165,4,2016-02-29,2016-03-01,2016-03-03,3,9
110,677,4,2016-03-06,2016-03-08,2016-03-09,3,9
114,1431,4,2016-03-08,2016-03-10,2016-03-11,2,7
120,327,4,2016-03-14,2016-03-15,2016-03-17,2,7
121,755,4,2016-03-14,2016-03-15,2016-03-16,2,6
127,484,4,2016-03-17,2016-03-18,2016-03-19,3,8
128,86,4,2016-03-18,2016-03-20,2016-03-21,2,6
132,46,4,2016-03-20,2016-03-22,2016-03-23,1,3
138,438,4,2016-03-23,2016-03-24,2016-03-25,2,7
139,710,4,2016-03-23,2016-03-24,2016-03-26,2,7
145,366,4,2016-03-27,2016-03-29,2016-03-30,2,6
150,332,4,2016-03-29,2016-03-31,2016-04-01,1,2
155,371,4,2016-04-02,2016-04-03,2016-04-04,2,6
164,610,4,2016-04-07,2016-04-08,2016-04-09,2,7
167,1034,4,2016-04-08,2016-04-09,2016-04-11,2,7
170,1200,4,2016-04-10,2016-04-11,2016-04-13,2,7
172,1079,4,2016-04-11,2016-04-12,2016-04-14,2,7
174,1361,4,2016-04-12,2016-04-13,2016-04-15,2,7
176,643,4,2016-04-15,2016-04-16,2016-04-17,2,7
178,756,4,2016-04-16,2016-04-17,2016-04-18,2,6
182,854,4,2016-04-18,2016-04-19,2016-04-20,2,6
184,134,4,2016-04-19,2016-04-21,2016-04-22,2,7
186,1127,4,2016-04-21,2016-04-22,2016-04-24,2,6
187,183,4,2016-04-22,2016-04-23,2016-04-24,2,6
188,390,4,2016-04-22,2016-04-23,2016-04-25,2,6
189,1288,4,2016-04-23,2016-04-24,2016-04-26,1,2
192,728,4,2016-04-27,2016-04-28,2016-04-29,2,7
194,558,4,2016-04-28,2016-04-30,2016-05-01,2,7
196,1247,4,2016-04-28,2016-04-30,2016-05-01,2,6
203,1102,4,2016-05-03,2016-05-05,2016-05-06,3,9
205,635,4,2016-05-04,2016-05-05,2016-05-06,2,6
208,815,4,2016-05-06,2016-05-07,2016-05-09,2,7
210,943,4,2016-05-07,2016-05-08,2016-05-09,2,6
212,1373,4,2016-05-08,2016-05-09,2016-05-11,2,6
217,716,4,2016-05-11,2016-05-12,2016-05-14,2,7
220,1358,4,2016-05-12,2016-05-14,2016-05-15,2,6
223,1368,4,2016-05-15,2016-05-16,2016-05-17,2,7
224,157,4,2016-05-17,2016-05-18,2016-05-19,1,3
226,501,4,2016-05-17,2016-05-19,2016-05-20,1,2
227,489,4,2016-05-17,2016-05-18,2016-05-20,2,7
